sweep,xi,alpha,fleet_size,requests_total,requests_served,mean_wait_s,p95_wait_s,total_distance_km,total_energy_kwh
xi_alpha,0.5,0.5,29,168,166,242.67469879518072,655.75,1598.561803284084,4761.254288351545
xi_alpha,0.5,1.0,29,168,166,248.5120481927711,654.25,1571.820749244428,4713.717707292102
xi_alpha,0.5,2.0,29,168,166,252.16867469879517,633.25,1574.3536712699988,4726.742090330452
xi_alpha,0.5,5.0,29,168,166,248.71686746987953,613.0,1596.3188047788958,4754.169790593755
xi_alpha,1.0,0.5,29,168,164,233.2439024390244,601.0,1544.1631550773739,4667.67034297282
xi_alpha,1.0,1.0,29,168,166,249.65662650602408,631.25,1579.2422645252875,4731.74998021338
xi_alpha,1.0,2.0,29,168,166,230.50602409638554,611.75,1537.4265750402697,4658.817460044173
xi_alpha,1.0,5.0,29,168,166,248.85542168674698,598.75,1574.1352861098117,4723.234512590163
xi_alpha,2.0,0.5,29,168,165,229.21212121212122,584.9999999999999,1556.980452698594,4689.0272624733225
xi_alpha,2.0,1.0,29,168,166,246.1265060240964,608.75,1594.3182364223303,4758.788938058937
xi_alpha,2.0,2.0,29,168,165,242.83030303030304,640.0,1582.9774756859513,4736.0327969543805
xi_alpha,2.0,5.0,29,168,166,242.2289156626506,639.0,1584.2716636239286,4742.834078861328
xi_alpha,5.0,0.5,29,168,166,249.93373493975903,666.25,1598.5922405804513,4766.399944296062
xi_alpha,5.0,1.0,29,168,166,239.35542168674698,603.25,1589.6832117108108,4750.771400991621
xi_alpha,5.0,2.0,29,168,166,237.16867469879517,592.75,1565.3554605098418,4719.364774190235
xi_alpha,5.0,5.0,29,168,165,246.4181818181818,579.5999999999999,1593.8157640821612,4748.284256480025
