time,request_id,responders,forces,winner
1236,0,"2,3,4,6,7,10,17,20,24","0.9451,0.9107,0.9429,0.9451,0.9107,0.9451,0.9757,0.9429,0.9429",17
3681,1,"0,4,8,12,13,20,26,27","0.8490,0.8490,0.8490,0.8490,0.8358,0.8490,0.8181,0.8041",0
4360,2,"1,5,9,11,18,20,26,27","0.8495,0.8495,0.8495,0.8819,0.8717,0.8384,0.8717,0.8819",11
4558,3,"1,3,16,17,18,19,21","0.9149,0.9578,0.9003,0.9032,0.9442,0.9578,0.9149",3
5767,4,"4,8,12,13,14,22,27,28","0.9100,0.9100,0.9100,0.9382,0.9703,0.9703,0.9328,0.9100",14
6173,5,"0,3,7,8,12,13,18,20","0.8888,0.8314,0.9705,0.9105,0.9105,0.9257,0.9563,0.9105",7
7330,6,"2,4,11,12,15,18,19,21,22,27","0.9418,0.9051,0.9582,0.9051,0.9798,0.9418,0.9798,0.9128,0.9418,0.9798",15
7419,7,"1,10,18,24,26","0.9596,0.9307,0.9307,0.9286,0.9307",1
9335,8,"0,6,15,19,21,25","0.7981,0.8478,0.8608,0.8734,0.8278,0.8278",19
9387,9,"1,5,10,14,17,20,23,24,26,28","0.9640,0.9691,0.9392,0.9109,0.9592,0.9371,0.9056,0.9371,0.9392,0.9371",5
10772,10,"2,3,6,17,24,28,29","0.7083,0.6689,0.7083,0.7007,0.7282,0.7282,0.7176",24
10922,11,"0,7,13,25,27,29","0.7910,0.8441,0.8207,0.8207,0.8647,0.8207",27
11904,12,"2,5,6,14,17,21,28,29","0.9614,0.6515,0.9614,0.9337,0.9191,0.9303,0.9099,0.9303",2
11974,13,"1,3,8,11,20,21","0.9180,0.9289,0.9048,0.9489,0.9048,0.9247",11
12463,14,"4,14,16,17,18,21,22,23,27","0.9026,0.9105,0.9026,0.8983,0.9389,0.9101,0.9389,0.9764,0.9584",23
12906,15,"3,7,11,12,13,14,17","0.8727,0.8925,0.8819,0.9565,0.9549,0.8977,0.9445",12
12978,16,"9,25,28","0.9097,0.9097,0.8954",9
13218,17,"3,8,10,11,20,21,25","0.8767,0.9286,0.9307,0.8859,0.9286,0.9596,0.9596",21
13677,18,"19,22,29","0.9455,0.9532,0.9229",22
14535,19,"5,6,11,21,24,26","0.9102,0.9349,0.8898,0.9589,0.9069,0.9349",21
15143,21,"1,2,8,10,12,13,14,16,20","0.9180,0.9453,0.9048,0.9552,0.8982,0.9247,0.9273,0.9048,0.9048",10
15172,20,"3,9,12,22,23","0.8243,0.8526,0.8006,0.8458,0.8244",9
15502,23,"5,16,22,25","0.7621,0.8155,0.8458,0.8207",22
15535,22,"3,4,13,24,28","0.9137,0.9369,0.9689,0.8769,0.9369",13
15627,24,"6,7,15,17,18,20,25,28","0.7700,0.7499,0.7480,0.7681,0.7700,0.7991,0.7835,0.7991",20
15976,25,"1,8,13,14,17,25","0.8182,0.8225,0.8623,0.8170,0.8135,0.8278",13
15989,26,"1,3,6,15,16,17,25,27,28","0.8406,0.8595,0.8717,0.8695,0.8384,0.8358,0.8495,0.8609,0.8384",6
