time,event,tug_id,request_id,node
1236,request_created,,0.0,D4
1236,tug_assigned,17.0,0.0,D4
1286,tow_started,17.0,0.0,D4
1941,tow_completed,17.0,0.0,RW36C
1941,tug_repositioning,17.0,,PIER_D
3681,request_created,,1.0,RW24
3681,tug_assigned,0.0,1.0,RW24
4075,tow_started,0.0,1.0,RW24
4360,request_created,,2.0,RW22
4360,tug_assigned,11.0,2.0,RW22
4558,request_created,,3.0,H6
4558,tug_assigned,3.0,3.0,H6
4647,tow_started,3.0,3.0,H6
4647,tow_started,11.0,2.0,RW22
5055,tow_completed,0.0,1.0,E5
5055,tug_repositioning,0.0,,PIER_B
5235,tow_completed,11.0,2.0,G4
5235,tug_repositioning,11.0,,PIER_H
5767,request_created,,4.0,F6
5767,tug_assigned,14.0,4.0,F6
5828,tow_started,14.0,4.0,F6
5903,tow_completed,3.0,3.0,RW18C
5903,tug_repositioning,3.0,,PIER_H
6173,request_created,,5.0,H2
6173,tug_assigned,7.0,5.0,H2
6234,tow_started,7.0,5.0,H2
6830,tow_completed,7.0,5.0,RW06
6830,tug_repositioning,7.0,,PIER_H
7030,tow_completed,14.0,4.0,RW18C
7030,tug_repositioning,14.0,,PIER_F
7330,request_created,,6.0,M3
7330,tug_assigned,15.0,6.0,M3
7371,tow_started,15.0,6.0,M3
7419,request_created,,7.0,D9
7419,tug_assigned,1.0,7.0,D9
7504,tow_started,1.0,7.0,D9
7996,tow_completed,15.0,6.0,RW06
7996,tug_repositioning,15.0,,PIER_M
8002,tow_completed,1.0,7.0,RW04
8002,tug_repositioning,1.0,,PIER_D
9335,request_created,,8.0,RW27
9335,tug_assigned,19.0,8.0,RW27
9387,request_created,,9.0,D6
9387,tug_assigned,5.0,9.0,D6
9451,tow_started,5.0,9.0,D6
9648,tow_started,19.0,8.0,RW27
10674,tow_completed,19.0,8.0,D9
10674,tug_repositioning,19.0,,PIER_M
10772,request_created,,10.0,RW18R
10772,tug_assigned,24.0,10.0,RW18R
10922,request_created,,11.0,RW09
10922,tug_assigned,27.0,11.0,RW09
11263,tow_started,27.0,11.0,RW09
11574,tow_completed,5.0,9.0,RW18R
11574,tug_repositioning,5.0,,PIER_D
11741,tow_started,24.0,10.0,RW18R
11904,request_created,,12.0,G4
11904,tug_assigned,2.0,12.0,G4
11974,request_created,,13.0,G6
11974,tug_assigned,11.0,13.0,G6
11985,tow_started,2.0,12.0,G4
12042,tow_started,11.0,13.0,G6
12175,tow_completed,27.0,11.0,F7
12175,tug_repositioning,27.0,,PIER_M
12405,tow_completed,11.0,13.0,RW18L
12405,tug_repositioning,11.0,,PIER_H
12463,request_created,,14.0,M4
12463,tug_assigned,23.0,14.0,M4
12511,tow_started,23.0,14.0,M4
12906,request_created,,15.0,C5
12906,tug_assigned,12.0,15.0,C5
12978,request_created,,16.0,RW04
12978,tug_assigned,9.0,16.0,RW04
12998,tow_started,12.0,15.0,C5
13089,tow_completed,2.0,12.0,RW24
13089,tug_repositioning,2.0,,PIER_G
13186,tow_started,9.0,16.0,RW04
13218,request_created,,17.0,D9
13218,tug_assigned,21.0,17.0,D9
13303,tow_started,21.0,17.0,D9
13444,tow_completed,9.0,16.0,F2
13444,tug_repositioning,9.0,,PIER_H
13633,tow_completed,12.0,15.0,RW18L
13633,tug_repositioning,12.0,,PIER_C
13677,request_created,,18.0,H3
13677,tug_assigned,22.0,18.0,H3
13777,tow_started,22.0,18.0,H3
13801,tow_completed,21.0,17.0,RW04
13801,tug_repositioning,21.0,,PIER_D
14044,tow_completed,24.0,10.0,M4
14044,tug_repositioning,24.0,,PIER_B
14054,tow_completed,23.0,14.0,RW36L
14054,tug_repositioning,23.0,,PIER_M
14300,tow_completed,22.0,18.0,RW22
