request_id,appear_time,origin_x,origin_y,dest_x,dest_y,region,resolve_time,assigned_tug
1,722,-6000.0,4800.0,0.0,-1320.0,B,1691,0
0,754,1500.0,-300.0,-734.4,-400.6,H,857,11
2,2536,1269.7,-71.9,2000.0,1500.0,H,2636,2
3,2706,978.5,-718.6,1800.0,500.0,F,2841,17
4,3059,-6000.0,1000.0,0.0,-830.0,B,3720,21
5,4276,-6000.0,1000.0,1188.9,212.3,B,4865,16
6,5484,1464.5,261.5,1800.0,500.0,M,5539,7
7,5940,1500.0,-300.0,1395.6,249.2,H,6043,3
8,6933,0.0,-1180.0,2900.0,900.0,D,6997,1
9,7303,1034.5,-298.9,1800.0,500.0,G,7343,3
10,7719,0.0,-1390.0,-6000.0,4800.0,D,7804,5
11,8235,2000.0,1500.0,1188.9,212.3,M,8661,6
12,8357,-2000.0,-500.0,-472.2,-801.2,B,8678,9
13,8848,-472.2,-801.2,1500.0,-300.0,C,8933,4
14,9042,596.5,-1157.8,-2000.0,-500.0,E,9153,26
15,10096,1800.0,-2800.0,-436.6,-740.9,H,10587,19
16,11563,0.0,-1320.0,-1000.0,-1000.0,D,11641,25
17,11905,-6000.0,1000.0,372.1,-722.2,B,12494,8
18,12122,-1500.0,1500.0,1533.5,273.8,M,12520,10
20,12624,0.0,-1460.0,2000.0,1500.0,D,12694,25
19,12630,-6000.0,1000.0,-507.7,-861.5,B,13219,20
21,12842,372.1,-722.2,-1500.0,1500.0,E,12849,26
22,13431,1034.9,-760.0,-2000.0,-500.0,F,13499,18
23,13661,0.0,-1250.0,1800.0,500.0,D,13732,13
24,14149,-611.5,-333.5,1800.0,-2800.0,B,14179,12
25,14436,0.0,-1320.0,-2000.0,2800.0,D,14492,1
26,14487,922.1,-677.2,-1000.0,-1000.0,F,14541,22
27,14624,2000.0,1500.0,372.1,-722.2,M,14965,15
28,14668,372.1,-722.2,-2000.0,-500.0,E,14730,14
29,14675,0.0,-1460.0,-6000.0,4800.0,D,14841,28
30,14805,596.5,-1157.8,1800.0,-2800.0,E,14918,29
31,14859,2900.0,900.0,532.3,-1033.4,H,15100,11
32,15513,-1500.0,1500.0,1464.5,261.5,M,15826,27
33,15596,-6000.0,4800.0,1169.0,-337.7,B,16577,4
34,15648,-2000.0,-500.0,1101.7,-318.3,B,15875,14
35,15811,922.1,-677.2,1800.0,500.0,F,15846,18
36,15989,-1000.0,-1000.0,-795.8,-434.1,B,16104,20
37,16149,-2000.0,2800.0,1269.7,-71.9,B,16566,9
38,16284,2000.0,1500.0,-918.7,-501.1,M,16625,23
39,16509,-3000.0,-2600.0,596.5,-1157.8,B,17000,17
40,16592,1409.4,-79.8,-6000.0,1000.0,H,16654,15
41,16672,1409.4,-79.8,1500.0,-300.0,H,16707,2
42,16689,865.7,-635.7,-1500.0,1500.0,F,16717,22
43,16704,-1000.0,-1000.0,372.1,-722.2,B,16842,24
44,17142,1326.7,236.9,-1500.0,1500.0,M,17216,3
45,17403,-543.2,-921.8,-1000.0,-1000.0,C,17480,24
46,17498,-918.7,-501.1,-1500.0,1500.0,B,17540,12
47,18080,2000.0,1500.0,1169.0,-337.7,M,18401,6
48,18168,978.5,-718.6,-3000.0,-2600.0,F,18296,27
49,18174,-857.3,-467.6,-1500.0,1500.0,B,18244,24
50,18238,1199.8,-67.9,-2000.0,2800.0,H,18252,2
51,18494,2900.0,900.0,1395.6,249.2,H,18761,7
52,18543,-6000.0,1000.0,1303.5,-376.6,B,19110,16
53,18641,922.1,-677.2,-1500.0,1500.0,F,18712,26
54,18681,-2000.0,2800.0,809.3,-594.3,B,18941,15
55,19023,2000.0,1500.0,468.2,-908.9,M,19344,23
56,19289,-401.1,-680.6,2900.0,900.0,C,19342,13
57,19484,1034.9,-760.0,-1500.0,1500.0,F,19533,22
58,19598,2900.0,900.0,-472.2,-801.2,H,19865,10
59,19639,1800.0,-2800.0,1101.7,-318.3,H,20110,7
60,19789,865.7,-635.7,1800.0,500.0,F,19817,17
61,19847,1800.0,-2800.0,1199.8,-67.9,H,20317,3
62,19922,500.3,-971.1,1800.0,-2800.0,E,19957,14
63,19990,-2000.0,2800.0,1199.8,-67.9,B,20407,21
64,20213,-857.3,-467.6,-1500.0,1500.0,B,20248,20
65,20392,1326.7,236.9,-1500.0,1500.0,M,20499,27
66,20441,696.4,-511.4,-1000.0,-1000.0,F,20508,11
67,20452,1101.7,-318.3,-2000.0,2800.0,G,20542,29
68,20475,-2000.0,2800.0,967.2,-279.4,B,20965,28
69,20528,-2000.0,-500.0,-672.9,-367.0,B,20755,9
70,20673,500.3,-971.1,2000.0,1500.0,E,20744,18
71,20676,1533.5,273.8,-1500.0,1500.0,M,20718,15
72,20745,-918.7,-501.1,-1000.0,-1000.0,B,20787,0
75,20856,1500.0,-300.0,809.3,-594.3,H,20912,19
73,20860,-1000.0,-1000.0,1257.8,224.6,B,20975,8
74,20864,-401.1,-680.6,1800.0,500.0,C,20917,1
76,20881,1800.0,500.0,1101.7,-318.3,H,21102,10
77,21036,-1500.0,1500.0,-578.8,-982.2,M,21415,22
79,21060,1395.6,249.2,-6000.0,1000.0,M,21088,23
78,21066,-6000.0,1000.0,-857.3,-467.6,B,21667,13
80,21111,0.0,-970.0,2000.0,1500.0,D,21132,25
81,21474,2900.0,900.0,1326.7,236.9,H,21715,19
82,21775,-918.7,-501.1,-6000.0,1000.0,B,21817,9
83,22021,967.2,-279.4,-6000.0,4800.0,G,22054,7
84,22253,1339.6,-75.8,-6000.0,1000.0,H,22281,2
85,22272,-857.3,-467.6,-6000.0,1000.0,B,22307,24
86,22275,404.1,-784.5,1800.0,-2800.0,E,22325,18
87,22417,1500.0,-300.0,-918.7,-501.1,H,22473,10
88,22491,1800.0,-2800.0,-857.3,-467.6,H,22935,11
89,22788,1800.0,-2800.0,-918.7,-501.1,H,23232,19
90,22822,-672.9,-367.0,-2000.0,2800.0,B,22836,12
91,22883,-1500.0,1500.0,696.4,-511.4,M,23176,27
92,22973,0.0,-830.0,1800.0,500.0,D,22980,5
93,23034,1800.0,500.0,0.0,-830.0,H,23175,6
94,23039,-1000.0,-1000.0,-507.7,-861.5,B,23154,21
95,23053,-472.2,-801.2,-1000.0,-1000.0,C,23116,20
96,23099,468.2,-908.9,-1500.0,1500.0,E,23163,25
97,23128,1800.0,-2800.0,752.8,-552.9,H,23631,22
98,23168,-2000.0,-500.0,404.1,-784.5,B,23395,8
99,23180,-1500.0,1500.0,372.1,-722.2,M,23473,15
100,23240,-3000.0,-2600.0,-365.5,-620.3,B,23612,0
101,23323,1800.0,-2800.0,1257.8,224.6,H,23767,10
102,23484,-1500.0,1500.0,-507.7,-861.5,M,23804,3
103,23633,0.0,-1110.0,-1000.0,-1000.0,D,23668,1
104,24044,1800.0,-2800.0,1034.9,-760.0,H,24547,17
105,24069,-1500.0,1500.0,436.2,-846.7,M,24362,6
106,24275,0.0,-1460.0,-6000.0,1000.0,D,24345,1
107,24409,2900.0,900.0,532.3,-1033.4,H,24756,11
108,24554,-918.7,-501.1,-2000.0,2800.0,B,24596,12
109,24626,1800.0,-2800.0,978.5,-718.6,H,25097,27
110,24663,-1000.0,-1000.0,809.3,-594.3,B,24778,8
