experiment,seed,mode,requests_total,requests_served,mean_wait_s,p95_wait_s,total_distance_km,total_energy_kwh
main,0,swarm,538,538,305.7620817843866,1047.15,5259.335723350227,15497.76719364146
main,0,baseline,538,538,200.36988847583643,592.8999999999994,4948.565598793628,15031.61200681003
main,0,random,538,538,324.74721189591077,880.6999999999982,5525.966424027512,15897.71324465699
main,0,optimal,538,538,201.20446096654274,595.1499999999991,4962.285742617006,15052.192222545016
main,1,swarm,564,564,331.26063829787233,1014.1500000000009,5648.455250920012,16657.57235280304
main,1,baseline,564,564,226.7127659574468,764.2500000000001,5272.610402589727,16093.805080310656
main,1,random,564,564,600.3014184397163,2747.6000000000013,5833.943805322198,16935.805184406232
main,1,optimal,564,564,219.5549645390071,703.1500000000009,5278.000512326107,16101.890244915156
main,2,swarm,616,616,311.5292207792208,974.0,5717.11681073577,16931.77011579824
main,2,baseline,616,616,172.08928571428572,567.0,5369.299235760665,16409.63875333776
main,2,random,616,616,357.8246753246753,1124.25,5965.250903597291,17303.56625509073
main,2,optimal,616,616,172.08928571428572,567.0,5369.299235760665,16409.63875333776
main,3,swarm,577,577,238.92894280762565,640.0,5502.128418683151,16196.775841739696
main,3,baseline,577,576,171.33506944444446,493.25,5023.557499769728,15479.069463372689
main,3,random,577,576,345.13715277777777,1010.75,5745.938887422591,16559.191544848833
main,3,optimal,577,576,171.33506944444446,493.25,5023.557499769728,15479.069463372689
main,4,swarm,598,598,398.74414715719064,1135.3999999999996,5814.323275577174,17250.958463675237
main,4,baseline,598,598,214.02173913043478,817.4999999999989,5411.61543911706,16646.89670898672
main,4,random,598,598,544.4230769230769,1924.2999999999995,6044.57939570822,17596.342643872384
main,4,optimal,598,598,210.87792642140468,750.899999999999,5409.661822341656,16643.966283823633
main,5,swarm,562,561,291.2192513368984,947.0,5275.268388309195,15496.158996644364
main,5,baseline,562,561,177.33155080213905,567.0,4857.125081188118,14868.94403596601
main,5,random,562,561,295.078431372549,776.0,5446.656393820548,15752.847318066619
main,5,optimal,562,561,177.33155080213905,567.0,4857.125081188118,14868.94403596601
