parameter,value,mean_wait_s,n_seeds
xi,0.25,230.93581042382587,3
xi,0.5,215.19334684228303,3
xi,1.0,220.37444175311757,3
xi,2.0,244.1098214772736,3
xi,5.0,214.46620971620973,3
xi,10.0,236.43014779912207,3
phi,0.02,218.40478678873,3
phi,0.05,257.13100327004616,3
phi,0.1,216.83340113010618,3
phi,0.2,209.46889344479703,3
phi,0.5,239.65548528015742,3
phi,1.0,229.74381529666866,3
n_exp,1.0,211.32834225602494,3
n_exp,1.5,210.3422696470437,3
n_exp,2.0,267.78639455782314,3
n_exp,3.0,245.33387109680214,3
n_exp,4.0,277.8286975911249,3
w_d,0.2,238.8435958515852,3
w_d,0.4,230.21471550713125,3
w_d,0.6,234.58139534883722,3
w_d,0.8,230.45764514514516,3
w_d,1.0,243.43376399980173,3
theta_bounds_mult,0.5,236.33253921174227,3
theta_bounds_mult,1.0,216.83394400386354,3
theta_bounds_mult,2.0,216.19289448415665,3
theta_bounds_mult,4.0,243.82303542849715,3
demand_multiplier,0.5,240.75307870183647,3
demand_multiplier,0.75,194.90785425457102,3
demand_multiplier,1.0,261.3897901399067,3
demand_multiplier,1.5,332.75667903126475,3
demand_multiplier,2.0,775.668819297004,3
n_charging_stations,1.0,235.71076277036354,3
n_charging_stations,2.0,220.16825034930704,3
n_charging_stations,3.0,223.45773488775515,3
n_charging_stations,4.0,252.21112974141144,3
