time,tug_id,B,C,D,E,F,G,H,M
0,0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,3,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,4,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,6,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,8,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,10,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,11,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,12,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,13,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,15,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,16,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,17,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,18,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,19,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,20,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,21,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,22,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,23,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,24,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,25,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,26,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,27,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0,28,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,3,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,4,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,6,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,8,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,9,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,10,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,11,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
600,12,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
